id;titre;coffrcollec;type;format;dossier;fichier;extension
SWROac;Star Wars;Affiche originale : 4K Ultra HD;Films;4K Ultra HD;https://jaquettes.pages.dev/films_jpg/;090520261920_Rogue_One_4K;jpg
SW1ad;Star Wars;Affiche originale : Blu-Ray;Films;Blu-Ray;https://jaquettes.pages.dev/films_jpg/;090520261951_Star_Wars_1_BD;jpg
SW2ad;Star Wars;Affiche originale : Blu-Ray;Films;Blu-Ray;https://jaquettes.pages.dev/films_jpg/;090520261952_Star_Wars_2_BD;jpg
SW3ad;Star Wars;Affiche originale : Blu-Ray;Films;Blu-Ray;https://jaquettes.pages.dev/films_jpg/;090520261953_Star_Wars_3_BD;jpg
SW4ad;Star Wars;Affiche originale : Blu-Ray;Films;Blu-Ray;https://jaquettes.pages.dev/films_jpg/;090520261954_Star_Wars_4_BD;jpg
SW5ad;Star Wars;Affiche originale : Blu-Ray;Films;Blu-Ray;https://jaquettes.pages.dev/films_jpg/;090520261955_Star_Wars_5_BD;jpg
SW6ad;Star Wars;Affiche originale : Blu-Ray;Films;Blu-Ray;https://jaquettes.pages.dev/films_jpg/;090520261956_Star_Wars_6_BD;jpg
SW7ad;Star Wars;Affiche originale : Blu-Ray;Films;Blu-Ray;https://jaquettes.pages.dev/films_jpg/;090520261957_Star_Wars_7_BD;jpg
SW8ad;Star Wars;Affiche originale : Blu-Ray;Films;Blu-Ray;https://jaquettes.pages.dev/films_jpg/;090520261958_Star_Wars_8_BD;jpg
SW9ad;Star Wars;Affiche originale : Blu-Ray;Films;Blu-Ray;https://jaquettes.pages.dev/films_jpg/;090520261959_Star_Wars_9_BD;jpg
SWSOLOad;Star Wars;Affiche originale : Blu-Ray;Films;Blu-Ray;https://jaquettes.pages.dev/films_jpg/;090520261961_Solo_BD;jpg
SWROad;Star Wars;Affiche originale : Blu-Ray;Films;Blu-Ray;https://jaquettes.pages.dev/films_jpg/;090520261960_Rogue_One_BD;jpg
